Product_Category,Store_Location,Holiday_Season,Discount_Percentage,Advertising_Spend,Customer_Rating,Weather,Number_of_Employees,Store_Area_sqft,Average_Transaction_Value,Number_of_Customers,Stock_Availability,Competitor_Proximity_km,Marketing_Channel,Operating_Hours_per_Week,Store_Age_Years,Price_Sensitivity,Loyalty_Customers_Percentage,Online_vs_Offline_Sales_Ratio,Average_Product_Age_days,Weekend_Sales_Percentage,Regional_Economy_Index,Store_Rent_Cost,Competitor_Discount_Percentage,Local_Events,Monthly_Inventory_Cost,Sales_Revenue
Grocery,Suburban,1,31.26023847652211,16811.720567051652,1.529151790604153,Cloudy,30,1103,227.0895885512288,580,80.38549041135023,7.729361017446144,Email,67,15,0.57188258826611,65.46195419269748,5.579268572056859,197,23.91137400517959,0.6282565938100043,10942.597458544711,48.14183166214031,1,7737.174371971583,36269.02701411572
Grocery,Rural,0,18.67774005238409,1479.1814179638773,4.910359841380172,Cloudy,9,1081,312.7284653487503,176,76.90685338554425,6.256063189445117,Radio,75,32,0.3055630610214299,59.99330097488635,9.614928362208312,69,55.21218437418312,0.4506671206067313,19343.50195921005,31.34659154649288,1,1863.3801337559848,51512.85066690477
Furniture,Rural,1,2.524447220620396,9559.956791774932,3.3305145841614623,Sunny,26,2439,387.2870729212345,254,73.44094790076207,6.053460112055707,Radio,91,8,0.4955246233118446,11.17791134890652,1.949661549350752,220,82.97599203969611,0.0787609330463698,3553.336835489795,39.23020626722341,1,22838.95154267097,95094.247872247
Toys,Suburban,1,31.374328589213967,7902.5269068075695,4.981896609387258,Snowy,19,632,60.94009419707089,78,64.68809365136931,5.505894325639383,Billboard,57,33,0.5016298089230942,69.8443255270493,3.5776558872663027,214,87.46878252077552,0.6696611616328767,4133.037541297779,43.87908862666837,1,45483.887010780425,41700.82840859736
Electronics,Urban,1,19.280675643282404,6673.441818218697,4.646058903463404,Sunny,17,3338,481.5590050627189,494,63.86733808623146,5.944100406018178,Billboard,64,18,0.0232870794425819,17.322809398624457,5.770276809520063,146,62.49160340474866,0.1378029876812678,18572.918901603767,35.729173560523,1,15958.060362601069,119073.82581227928
Toys,Rural,1,46.81335697066096,6071.142083872908,1.8860690884524232,Sunny,32,3885,446.20812857173246,768,75.0115739462901,9.353054331801484,Email,74,45,0.3554598518841386,30.780074888206062,8.692841322367904,233,88.69286433279885,0.6711861221591816,14260.909105821458,26.211832828158016,1,10601.88423564553,99485.63754934249
Toys,Urban,0,27.099503744488292,2281.7950447779795,1.2246480396132524,Rainy,37,4270,142.47080934283633,513,58.03015732148245,0.1848351870263328,Email,43,29,0.7398657995429174,54.11922362810695,9.300550394440815,234,55.65881991809127,0.9791764972000584,3463.3503934221344,13.640853938171016,1,46376.09456610825,106243.64480991276
Furniture,Rural,1,46.98257556467541,6639.103672357152,2.022556375181446,Sunny,47,2768,413.1525190858426,329,67.03427117874008,0.5732171256117178,Billboard,53,32,0.510069188950708,46.13860679008333,3.426759675193226,214,45.40840238247466,0.5319726586169528,8173.10708681289,42.724630669783465,1,6166.983298813415,31221.17280000827
Electronics,Suburban,0,11.024184673665204,1339.5218529555373,3.1102545959976795,Sunny,27,1475,263.9787222895135,200,66.19896373550498,1.9957847583149435,Billboard,78,33,0.2442301170095842,11.261951181715675,0.7643737691108812,61,54.12699671585968,0.2140846545026608,1597.2639121868556,24.02891263443392,1,3538.250637374695,105864.10596053548
Furniture,Rural,1,36.286295518205165,15728.795341066489,1.68638546826076,Cloudy,37,2313,236.28517596538916,289,79.35664007921005,1.756283661932186,Email,65,5,0.335109860036944,75.91880467613699,4.274035009429633,363,19.256991541081767,0.6252837508795982,8937.094911395037,31.035411316752956,1,44091.24557281646,14648.247255557166
Electronics,Suburban,0,30.862451042436284,8265.441982181226,1.669838978071954,Rainy,47,3763,164.07271184758864,315,53.33411501815123,1.8938251487449085,TV,47,18,0.8630543931159491,80.30407664687411,4.00400701801172,78,42.13727357483102,0.5129296877912829,15669.079142497225,3.961326894045991,0,35344.55971577977,176899.38311227792
Clothing,Rural,0,36.97041149156559,9156.124730238276,2.8503741884206124,Cloudy,22,2043,294.6746074494803,743,91.48343401325477,6.752244469901637,Email,63,48,0.5255496701502296,64.54983547974135,9.866221972503926,95,46.6724042424423,0.533140263610646,11302.45506442948,24.86756615634249,1,21681.36326873323,71933.68970709053
Electronics,Suburban,0,10.73339319862684,17925.094435777566,1.1330718846774337,Cloudy,34,3335,367.6456676747629,154,78.1189190192201,4.648884680396637,TV,55,10,0.528352122551236,53.28542869254579,4.367506318478815,330,77.89022389767825,0.4781069461199968,13125.12137541596,34.907882200992255,1,37864.85467743321,171985.77834296296
Furniture,Suburban,0,33.24972581188869,13332.072185293804,1.4875523301290818,Snowy,30,3238,211.35712343175155,986,83.54133403879678,9.918610895513462,TV,59,36,0.96146745905101,86.85902711195772,3.126657693101972,216,70.69188741939578,0.6737405742435558,6872.99257790408,29.2035954966885,1,37330.55765016919,141822.99190524453
Toys,Suburban,0,24.90201965284345,657.1525151713358,2.6634453576317902,Snowy,20,1857,318.3174045740631,482,85.15469518797164,2.346170556549154,Email,54,33,0.3208813990366433,19.596496619855355,3.717236007895847,213,58.11412681798406,0.571945362407002,3647.220396023464,22.42774280228525,1,2962.967599768564,154403.6549129503
Electronics,Suburban,1,37.14124874531581,18891.90904774505,1.2525196368318658,Rainy,17,4634,352.6633313660988,962,64.57420684212683,3.177218000172197,Social Media,46,23,0.4795411251062283,69.03280429319912,4.029570178175757,304,37.7821787901016,0.9869950774543728,755.775177582946,11.17136583748346,1,34136.09379103016,66336.17643508993
Electronics,Urban,1,16.352232207590887,5124.317086565368,2.5870202258221173,Rainy,43,1816,358.4496903374901,546,73.51857836924333,9.843983096336324,Billboard,97,40,0.811713597720834,20.26884903161583,8.233249783746498,200,24.962766855412568,0.8258634210423188,16515.590714422236,15.483510004507975,0,32402.74649518292,49410.06826764076
Grocery,Suburban,1,44.50285127326263,2598.476602817248,2.8960250637937803,Snowy,37,661,35.46338808427832,489,97.81229779348337,8.334405593942245,Radio,56,5,0.7589122488870297,40.54758391387325,0.9020474390295152,352,37.82120167317024,0.2646983777110065,12914.763907242865,35.03121790811505,0,48225.17768439887,84314.40799901739
Toys,Urban,0,4.215065730567519,15478.499478427204,2.8050664562924577,Snowy,30,2409,431.2764247856828,797,88.33526189984075,4.751012284717474,Email,61,34,0.2657994219286725,56.8387607336783,3.233419783862764,31,64.38432567673055,0.7257565219049736,4971.764205109924,11.209534941969943,0,48364.507897828415,9724.043170495872
Clothing,Urban,1,40.3594659395594,10259.307659401004,4.476699429612349,Snowy,5,1627,234.5441242348735,734,98.47784376115926,5.590509166905298,TV,61,24,0.1510910476053858,68.96701524034819,9.666553069880289,290,31.043023926802647,0.2143003493847345,8659.462221507249,31.08633076544409,1,19512.16698390015,184157.3569893281
Furniture,Suburban,0,43.06598129075454,8958.526037351343,3.1202498202069298,Snowy,42,4370,138.58388003114507,207,87.31271725731442,8.44746141446312,Email,93,17,0.7007045761873683,10.29728802175872,1.6157147975081196,343,44.15093565673328,0.7823464080813912,16128.143740198228,29.48688062781016,1,29902.2536825227,80467.78186339428
Clothing,Urban,0,40.86261556834106,5365.310053813464,2.871921849912173,Snowy,6,2158,128.46460866504398,221,58.78000698542587,4.861704435858647,Billboard,51,31,0.2576561768071947,30.847830909742093,7.45175308317264,135,40.94161879053456,0.1475576399773421,11004.653628782022,48.52087396934319,0,7926.511369530558,197768.5379444952
Toys,Rural,1,25.636319713088803,11175.694052315212,2.642836981566665,Cloudy,10,3625,246.67691529353573,543,53.22679419223381,2.1396348634626348,TV,57,7,0.9226758285242412,53.05603131278563,3.628295661863075,83,71.24720510328481,0.4735538335472381,6353.117590696577,3.0390921242334947,1,4256.369771899567,153482.6370574455
Electronics,Suburban,1,21.919249001538063,5850.499801450455,4.270493513217945,Rainy,42,2463,444.54745433979,360,78.88307183598317,8.301600931688416,Radio,95,17,0.1292476939892261,52.62989433292056,5.859676709325801,47,80.70296498081154,0.7906061983060746,5710.098084828367,5.406130364803074,1,22206.21374068622,20700.426910865543
Electronics,Urban,0,49.81311432624384,18080.868603097817,4.5802264159993324,Cloudy,46,2789,195.390315024497,452,67.89066398513047,5.423947663628869,Radio,85,28,0.3183152001347765,61.01011479570112,1.0855255812379323,206,65.94967654487816,0.2801127023065654,4743.4734767521,25.30417328228785,0,34804.21853091551,133736.7141793023
Toys,Suburban,0,11.458597560708109,4696.487354797259,4.41296987678847,Cloudy,28,1466,377.3656159239362,718,63.77289550690851,1.6151217119218308,Radio,86,38,0.0547872469249137,34.3082864694578,3.133475506804071,77,37.32818087464273,0.8371191251316631,16562.732662616312,26.355491267681728,1,28820.294992588617,57813.63714340125
Electronics,Suburban,1,27.34379829380223,17744.925433887194,3.6941863125255634,Sunny,22,1389,57.44117818373712,819,90.36054982127088,5.105299728725536,Social Media,54,22,0.7033053068633781,53.24234008711485,5.0585629224427935,259,44.65416391807098,0.644150709033972,11846.276838350916,1.996382940258562,1,22053.18918711409,52525.13588836912
Electronics,Suburban,1,33.53377626911628,11408.40580168346,1.549446983874697,Cloudy,31,3561,243.26778405402027,725,68.34966335409737,4.1907134679089015,TV,76,15,0.8912626489153983,25.182942194766117,2.393836515940998,92,21.468012324297717,0.3975223291072158,14328.564731178552,41.2927710429726,1,41087.51479195496,55029.72063112651
Electronics,Urban,1,35.0433817930716,16655.518610957202,2.107479877968049,Snowy,45,4129,495.9262087924404,708,65.8500484867152,8.780741065629403,TV,55,37,0.635874527331007,24.94977715227644,5.464512436226206,100,23.44779582132879,0.4234167093062718,17272.34860724956,24.736174905144782,1,39926.9461370036,183634.6344950993
Furniture,Rural,1,10.201233286928934,14400.496919288622,1.1842522547279095,Snowy,12,3689,387.51452336824514,952,92.49937965845052,1.3479487704709638,Social Media,44,15,0.9377530155114836,56.12511707380855,2.275617209220892,195,23.1434054021212,0.9259915339198552,19743.803199339214,17.33218733202644,1,36865.16069881031,102496.1343339181
Furniture,Rural,0,32.69970461699006,14085.554673016595,4.723296299960456,Sunny,32,3248,113.15895933590038,715,92.314366824323,8.764577064035453,TV,41,25,0.1285039785012096,64.83780680362727,6.535995471240484,192,20.446908604904817,0.2177910000123792,5364.929937350248,15.942688530743792,1,4774.580159534293,135546.8252682631
Grocery,Urban,1,40.91847832406687,6824.743250053587,3.6431941187636414,Sunny,14,2166,255.70632211197625,512,67.81833188775283,5.170889066421818,Social Media,91,21,0.0877339272626989,19.631997334503037,9.05310796847811,68,24.36649828073041,0.6933626151747102,4027.5985054293023,43.07035907770906,1,40027.011766886535,59784.82603094163
Clothing,Suburban,1,2.500928841055611,5060.990163707967,3.985451537252966,Sunny,21,3566,124.4761341877976,416,91.6249350492983,4.103207856813361,Email,67,38,0.8384127311673708,19.823192152337867,0.9463375097805572,242,26.21505620626861,0.7072942057415355,9508.967684481995,9.836643321409015,0,46051.6444837403,106976.11876109804
Toys,Urban,1,45.57606466626582,4612.281439775368,2.246286958328916,Sunny,33,1941,210.68485435862956,599,92.53892451663302,1.7034751255891094,Billboard,96,2,0.8555111753865077,55.22421531683604,2.244498754183255,90,18.947675503810636,0.9224496931836368,1183.8899498313838,8.020885271630462,0,3912.6623262549065,73269.52695118201
Toys,Urban,0,1.4752027572602966,17215.23731266198,4.382614089109369,Sunny,10,1567,392.2411716301327,692,71.1965267514833,7.038097830122926,Radio,80,27,0.8310395271071281,31.60766018269165,8.459787969877267,345,61.22085775073816,0.7131642687573406,15938.4986904888,10.65892646116416,1,20681.898051618216,67622.11287729815
Toys,Urban,0,17.798551624419716,16498.32299505089,2.038413134833914,Cloudy,18,4723,387.9001594922978,919,53.32365651045858,9.2753864201894,Social Media,93,49,0.7989649025337456,41.39192817928915,6.35237950587538,10,89.23212276657597,0.584467418058375,17733.319977270454,31.25112738259818,1,49429.4189961128,53158.925354191386
Grocery,Suburban,0,0.7906598116481034,9091.183796239991,1.0065750284497987,Sunny,26,3423,121.76918517216872,304,50.07923222331701,3.8162358036032655,Social Media,66,32,0.3622283639386602,42.05987581180623,0.8792182797113958,264,80.33493957218049,0.9025225390162928,13877.774125586551,40.546542781420456,0,30362.704064945898,84756.34520621311
Furniture,Urban,0,3.857258426979093,3081.889963180865,2.505659850082776,Cloudy,10,4753,461.8894258958815,257,76.16462314444975,2.491691506641251,Social Media,70,21,0.2174620835913877,24.28422874279331,4.914866139584004,268,13.648217906086895,0.829132029648398,5725.902978990383,16.548934689408977,0,26165.29270424568,133705.87157285446
Grocery,Suburban,1,45.55841425900395,7953.918913560438,3.2830459238362937,Rainy,30,4356,300.3584095547652,499,67.20377466851778,5.593182478291654,Email,80,4,0.92880401999779,10.105170674450116,2.1766092986122167,320,43.844704735737984,0.7167764548342263,2901.531742781416,8.673099905740644,0,9694.861225968434,48298.53633308626
Toys,Urban,0,17.74304153730739,12577.197355669772,2.91481943186209,Sunny,43,1326,196.16290257138712,144,99.8565947079183,7.982240889495316,Social Media,75,44,0.3070001828483339,78.25214479752059,2.0710543012936906,118,78.74484633862178,0.0325783823921744,7951.811664437823,10.459708381431026,0,28708.827883374328,193261.57744108327
Clothing,Rural,1,21.238576521252643,9360.86151235908,4.448304570306388,Sunny,16,4485,255.94843458262173,909,88.6205499813642,0.1373001760502772,Billboard,86,19,0.3984076821640322,67.20015751181506,9.412388899269184,250,20.773985439359716,0.3735204182403614,16750.044599852437,30.95918892589255,0,22513.1197630032,29299.276910415
Electronics,Urban,1,10.76721906912763,15713.690735418402,1.4216211438246678,Cloudy,39,2592,306.4849141844944,888,88.06377281752063,6.350636620314749,Billboard,82,2,0.6995589594516332,65.24308464924525,7.639261325953479,59,77.81161173216341,0.6318896722018543,7282.642173829236,12.301761310711496,0,7244.709722936029,98640.40550568009
Furniture,Urban,1,29.85478850933599,19953.645033902016,3.2152937625349023,Rainy,18,3679,284.34636060443484,527,97.7621384143672,6.005508406916445,Radio,40,26,0.2933560799939876,53.720411049065575,6.992682875889023,195,57.41605102703194,0.522250524356765,1167.9641857194797,43.86401156756834,0,23752.29997828368,21580.502189293133
Furniture,Rural,1,29.74016073388948,4227.075724753488,3.0519173992836297,Cloudy,26,4401,248.3384674127273,732,94.38621989466604,3.2497066394611847,Email,89,34,0.8191302215610012,66.07757236624963,2.4653952890708006,50,84.50388420768894,0.3193183264978438,5848.467336390072,5.194567720715698,1,9055.565953587764,9419.737608456946
Grocery,Suburban,0,18.61001959126096,9463.190983361665,2.125571928688652,Cloudy,27,2862,257.4170740038061,811,65.90937397281944,4.569087735689206,Billboard,68,14,0.0700346236317812,84.85507020381006,1.27387698710541,296,80.08312914115402,0.1444239155097765,19803.9393964766,1.61842670027601,0,36802.51746457677,184922.07734118088
Furniture,Suburban,0,16.65174359026992,8904.18608745603,4.288912450308042,Sunny,11,2724,96.44183610966422,239,58.29936108019382,2.544935919202028,TV,40,15,0.7911826673889345,63.253898898343294,8.721242950724966,97,64.1627457646974,0.5529965826889216,13695.040735484725,4.418912298045196,0,48708.76994103752,163025.03482037366
Toys,Urban,0,44.24821540902939,6437.604388604541,4.011394623528825,Snowy,44,2226,408.2391231092929,760,87.29461325327412,7.919868805723244,TV,47,20,0.6018513226178042,31.207312154196,0.1582077364902642,127,62.62581278981564,0.285917575862213,18066.669184553997,42.28215601931602,0,24009.275372859112,140360.29775948386
Toys,Rural,1,19.164211982110068,4362.862576045647,3.931436749327324,Snowy,29,2506,275.4625567710975,533,68.91369468414365,6.381895840324466,TV,96,34,0.5729936441135929,55.64480413927184,3.9421545946400944,246,27.05313619135265,0.2330004898089963,15609.872716271597,32.56147598328305,1,31986.04826381603,173712.20856423923
Grocery,Suburban,1,24.67504960772041,1780.9962715483548,4.504769913078224,Cloudy,17,766,74.22913223530452,782,73.65863258154782,5.373845058185954,Social Media,55,36,0.4583770391386607,45.38595226929681,2.8483637793172023,87,19.340237372640683,0.3989582270549335,11024.257548869298,47.887231655862514,1,22117.800713575278,161555.44247909708
Toys,Urban,1,14.165238121246531,17798.826685862117,3.8911384024860847,Sunny,25,1337,385.4169797755612,585,81.51988656374135,3.9860093643364896,Social Media,97,19,0.2770455962834224,54.51353048897196,5.746724383453354,77,43.23147439750387,0.7854914332142686,3399.433011702116,16.81482706348788,1,7784.238829193262,131211.35559234646
Clothing,Rural,1,39.338475167856366,8687.049604883194,1.9273651668589056,Rainy,45,1186,466.8975494049019,805,95.39363384676204,2.9847054216052484,TV,67,9,0.4640702854312366,51.40883819302601,2.580033515269764,204,24.92640315944998,0.4878535023663122,7298.567327936495,10.633906400484973,0,48557.20903729944,170231.753524832
Grocery,Suburban,1,19.87240784495458,10189.462610750954,3.822250846598765,Snowy,14,3861,474.1803806261114,472,70.9543876835483,8.24509121182997,Radio,61,7,0.4500285120186873,78.70202281827719,3.180933057350249,146,18.193337414220714,0.2164922104986699,11882.934392847334,28.09876196568746,0,7349.354540119905,81206.10792472052
Clothing,Suburban,0,25.680552327216223,18380.36993991786,2.230811253559376,Rainy,13,856,190.81868888147463,885,89.16584451096807,4.568935937292333,Radio,57,30,0.58375418878307,62.144008270485365,8.515394564432617,149,34.18613866183148,0.1169031422800483,17477.330800273845,26.89141395633743,0,6469.713617163493,112786.6074808496
Electronics,Rural,1,12.667858502983073,15637.664311560982,1.9686986013898824,Snowy,19,4315,76.40326804476948,689,63.41698956373287,5.06432945643256,Social Media,61,13,0.2815742858555302,25.100678234728317,6.071569351704736,111,78.83919542373188,0.4989872637747999,5739.163394365543,29.551199409766088,1,23499.474141893726,156380.5773308359
Clothing,Rural,0,49.38297961706259,3044.7746502850923,1.2920143715985093,Sunny,6,1371,264.0158170502019,654,84.89858954618069,5.256204432353342,TV,80,27,0.077595581976149,15.041342310029666,1.542257020560747,129,11.371852321468898,0.7943663984222346,2863.923952134476,17.37669313301744,1,33285.47602257968,21535.613168037595
Electronics,Rural,1,14.574787046186144,11525.689368350975,3.976114321390707,Cloudy,29,2473,65.17852238111814,861,50.07897105389559,4.538832660772607,Radio,51,44,0.1450894466391382,43.94910309450776,7.292068280608732,253,33.41101453777405,0.6528180236539404,11397.23019231894,0.2948470018393379,1,18391.24027767167,172435.86609668436
Electronics,Rural,1,38.53712654527758,9123.919392131404,3.844003847799245,Rainy,17,2310,467.65383507118247,182,93.57536067453174,2.635275419760396,Social Media,58,35,0.6991774314615729,11.24884978061834,2.153846094650796,166,43.92417481715938,0.2321488801432496,3941.7738391020857,1.7515826470308415,1,10433.334087648249,35581.93886083798
Clothing,Urban,0,21.37478251783796,16045.615915285876,1.937997910696375,Rainy,38,4918,99.95401740402154,104,51.51897899772312,1.291370358406215,TV,64,13,0.0224923296355404,35.463790866666855,4.386748808113553,297,50.845579969222925,0.4367065856894923,12402.05450177718,33.191323071125645,1,41129.205033346334,173585.54431502012
Grocery,Rural,0,10.310870254206996,14622.53467843301,3.997516066896624,Cloudy,38,3141,133.8552713760704,559,85.63768773812922,1.075518944960633,Email,89,15,0.85644304464543,39.441717555138055,6.501411644709004,137,24.526200670639145,0.8552303633440688,5638.668128432774,26.16290240777407,1,18792.06270986801,65709.90996842076
